"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2019","8.72","9.19","9.20","8.68","344.27K","-3.75%"
"Aug 13, 2019","9.06","9.19","9.19","8.85","628.45K","-1.41%"
"Aug 12, 2019","9.19","9.53","9.55","9.05","826.72K","-3.47%"
"Aug 09, 2019","9.52","9.97","9.98","9.47","543.13K","-3.55%"
"Aug 08, 2019","9.87","9.61","9.97","9.45","808.70K","3.79%"
"Aug 07, 2019","9.51","9.32","9.56","9.09","456.12K","2.48%"
"Aug 06, 2019","9.28","9.04","9.44","9.04","347.72K","1.31%"
"Aug 05, 2019","9.16","9.26","9.28","9.06","285.02K","-2.03%"
"Aug 02, 2019","9.35","9.39","9.39","9.05","335.01K","1.30%"
"Aug 01, 2019","9.23","9.24","9.37","9.18","235.34K","-0.43%"
"Jul 31, 2019","9.27","9.01","9.45","9.01","364.33K","1.98%"
"Jul 30, 2019","9.09","9.46","9.46","8.98","724.98K","-3.91%"
"Jul 29, 2019","9.46","9.61","9.70","9.39","370.21K","-1.56%"
"Jul 26, 2019","9.61","9.90","9.90","9.58","250.18K","-1.64%"
"Jul 25, 2019","9.77","9.93","10.00","9.66","336.52K","-1.01%"
"Jul 24, 2019","9.87","10.00","10.02","9.67","715.88K","-1.50%"
"Jul 23, 2019","10.02","9.62","10.06","9.54","554.28K","4.38%"
"Jul 22, 2019","9.60","9.47","9.82","9.38","464.36K","1.69%"
"Jul 19, 2019","9.44","9.56","9.56","9.34","218.34K","0.43%"
"Jul 18, 2019","9.40","9.47","9.47","9.26","273.73K","-0.53%"
"Jul 17, 2019","9.45","9.68","9.68","9.35","267.40K","-1.97%"
"Jul 16, 2019","9.64","9.47","9.65","9.40","198.40K","1.80%"
"Jul 15, 2019","9.47","9.66","9.66","9.43","221.67K","-1.56%"
"Jul 12, 2019","9.62","9.69","9.69","9.52","275.47K","0.63%"
"Jul 11, 2019","9.56","9.78","9.84","9.44","659.01K","-2.15%"
"Jul 10, 2019","9.77","9.57","9.84","9.54","359.53K","2.41%"
"Jul 09, 2019","9.54","9.93","9.93","9.43","642.05K","-3.05%"
"Jul 08, 2019","9.84","9.65","9.95","9.65","861.09K","1.97%"
"Jul 05, 2019","9.65","9.72","9.80","9.44","1.04M","0.10%"
"Jul 04, 2019","9.64","9.20","9.65","9.20","719.38K","5.59%"
"Jul 03, 2019","9.13","8.79","9.16","8.74","816.02K","4.46%"
"Jul 02, 2019","8.74","8.60","8.80","8.57","501.36K","1.63%"
"Jul 01, 2019","8.60","8.92","8.92","8.56","643.11K","-2.16%"
"Jun 28, 2019","8.79","8.53","8.82","8.51","734.14K","2.69%"
"Jun 27, 2019","8.56","8.61","8.82","8.49","682.88K","-0.23%"
"Jun 26, 2019","8.58","8.37","8.68","8.22","578.57K","3.50%"
"Jun 25, 2019","8.29","8.66","8.66","8.25","622.79K","-2.93%"
"Jun 24, 2019","8.54","8.76","8.77","8.45","714.61K","-4.04%"
"Jun 21, 2019","8.90","8.88","9.02","8.77","384.41K","1.60%"
"Jun 20, 2019","8.76","8.53","8.85","8.51","652.77K","3.18%"
"Jun 19, 2019","8.49","8.83","8.88","8.39","1.02M","-3.96%"
"Jun 18, 2019","8.84","8.93","8.93","8.54","962.51K","-1.56%"
"Jun 17, 2019","8.98","9.18","9.27","8.90","582.72K","-2.18%"
"Jun 14, 2019","9.18","9.28","9.30","9.11","312.15K","-0.86%"
"Jun 13, 2019","9.26","8.96","9.35","8.92","650.58K","3.35%"
"Jun 12, 2019","8.96","9.02","9.05","8.88","660.25K","-1.43%"
"Jun 11, 2019","9.09","9.34","9.34","9.04","812.95K","-2.47%"
"Jun 07, 2019","9.32","9.50","9.52","9.27","231.16K","-1.69%"
"Jun 06, 2019","9.48","9.72","9.78","9.32","380.99K","-0.21%"
"Jun 04, 2019","9.50","9.44","9.59","9.25","493.55K","0.64%"
"Jun 03, 2019","9.44","9.70","9.70","9.27","867.70K","3.85%"
"May 29, 2019","9.09","9.26","9.29","8.76","1.23M","-2.15%"
"May 28, 2019","9.29","10.02","10.02","9.23","2.66M","-9.72%"
"May 27, 2019","10.29","10.45","10.45","10.15","427.51K","0.10%"
"May 24, 2019","10.28","10.45","10.72","10.20","870.29K","-0.19%"
"May 23, 2019","10.30","10.61","10.61","10.01","1.47M","-3.74%"
"May 22, 2019","10.70","11.17","11.17","10.68","534.33K","-3.25%"
"May 21, 2019","11.06","11.24","11.25","11.00","453.13K","-2.04%"
"May 20, 2019","11.29","11.70","11.70","11.28","353.59K","-3.42%"
"May 16, 2019","11.69","11.53","11.72","11.42","214.24K","1.83%"
"May 15, 2019","11.48","11.71","11.72","11.27","314.55K","-1.88%"
"May 14, 2019","11.70","11.79","11.85","11.66","192.43K","-0.85%"
"May 13, 2019","11.80","12.43","12.43","11.69","382.84K","-1.34%"
"May 10, 2019","11.96","12.19","12.19","11.74","973.88K","-0.91%"
"May 09, 2019","12.07","12.54","12.54","12.03","356.44K","-3.67%"
"May 08, 2019","12.53","12.50","12.58","12.22","340.74K","0.24%"
"May 07, 2019","12.50","12.68","12.71","12.50","272.94K","-1.03%"
"May 06, 2019","12.63","12.75","12.75","12.25","453.23K","-0.94%"
"May 03, 2019","12.75","13.60","13.60","12.62","1.80M","-4.99%"
"May 02, 2019","13.42","12.60","13.42","12.44","2.66M","2.91%"
"May 01, 2019","13.04","12.55","13.24","12.30","766.77K","6.45%"
"Apr 30, 2019","12.25","12.70","12.70","12.14","1.05M","-3.54%"
"Apr 29, 2019","12.70","12.59","12.93","12.25","1.42M","-2.46%"
"Apr 26, 2019","13.02","13.20","13.35","12.91","1.42M","-4.62%"
"Apr 25, 2019","13.65","13.37","13.69","13.37","296.42K","0.81%"
