"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 02, 2019","13.66","13.97","13.99","13.66","1.76M","-1.55%"
"Nov 29, 2019","13.88","14.00","14.00","13.83","912.48K","-0.68%"
"Nov 28, 2019","13.98","13.85","13.99","13.85","1.68M","0.18%"
"Nov 27, 2019","13.95","13.90","14.00","13.82","1.08M","-0.07%"
"Nov 26, 2019","13.96","13.82","14.01","13.79","1.72M","0.79%"
"Nov 25, 2019","13.85","13.68","13.94","13.68","1.64M","1.17%"
"Nov 22, 2019","13.69","13.65","13.80","13.63","1.27M","0.33%"
"Nov 21, 2019","13.65","13.70","13.77","13.64","1.63M","-1.09%"
"Nov 20, 2019","13.80","13.95","14.00","13.76","1.61M","-0.76%"
"Nov 19, 2019","13.90","13.61","13.93","13.51","2.55M","2.96%"
"Nov 18, 2019","13.50","13.84","13.95","13.50","2.21M","-2.49%"
"Nov 15, 2019","13.85","13.65","13.85","13.64","1.18M","1.50%"
"Nov 14, 2019","13.64","13.54","13.70","13.51","2.17M","-0.80%"
"Nov 13, 2019","13.75","13.65","13.84","13.57","2.12M","-0.04%"
"Nov 12, 2019","13.76","13.90","14.04","13.72","1.01M","-0.33%"
"Nov 11, 2019","13.80","13.99","14.02","13.67","2.72M","-0.90%"
"Nov 08, 2019","13.93","14.07","14.15","13.90","5.20M","-1.45%"
"Nov 07, 2019","14.13","13.72","14.14","13.70","3.79M","2.84%"
"Nov 06, 2019","13.74","13.56","13.80","13.56","4.46M","1.10%"
"Nov 05, 2019","13.59","13.55","13.60","13.35","4.72M","0.63%"
"Nov 04, 2019","13.51","12.75","13.65","12.75","5.50M","8.17%"
"Nov 01, 2019","12.48","12.15","12.48","12.01","2.76M","2.88%"
"Oct 31, 2019","12.14","11.99","12.23","11.77","2.92M","2.15%"
"Oct 30, 2019","11.88","12.08","12.13","11.80","1.43M","-0.29%"
"Oct 29, 2019","11.91","11.99","12.01","11.74","1.96M","2.06%"
"Oct 28, 2019","11.68","11.81","12.05","11.61","1.61M","-0.21%"
"Oct 25, 2019","11.70","11.95","11.96","11.59","2.11M","-2.30%"
"Oct 24, 2019","11.98","11.90","12.07","11.88","1.88M","0.34%"
"Oct 23, 2019","11.94","11.95","12.07","11.78","2.32M","0.25%"
"Oct 22, 2019","11.90","12.15","12.27","11.90","1.74M","-2.50%"
"Oct 21, 2019","12.21","11.85","12.26","11.85","2.06M","2.30%"
"Oct 18, 2019","11.94","12.01","12.16","11.87","1.47M","-0.42%"
"Oct 17, 2019","11.98","11.90","12.30","11.86","3.49M","0.04%"
"Oct 16, 2019","11.98","12.10","12.18","11.85","3.57M","-1.52%"
"Oct 15, 2019","12.16","11.94","12.31","11.94","4.55M","1.37%"
"Oct 14, 2019","12.00","11.99","12.07","11.68","3.10M","-0.21%"
"Oct 11, 2019","12.02","11.32","12.28","11.32","7.29M","5.16%"
"Oct 10, 2019","11.44","11.28","11.65","11.22","4.10M","0.93%"
"Oct 09, 2019","11.33","10.81","11.40","10.56","4.42M","5.49%"
"Oct 08, 2019","10.74","10.89","10.90","10.46","2.09M","-1.47%"
"Oct 07, 2019","10.90","10.30","10.93","10.30","3.00M","4.66%"
"Oct 04, 2019","10.41","10.44","10.45","10.19","1.83M","0.97%"
"Oct 03, 2019","10.31","10.44","10.44","10.13","2.37M","-0.77%"
"Oct 02, 2019","10.40","10.56","10.91","10.36","2.72M","-3.53%"
"Oct 01, 2019","10.77","10.76","10.99","10.70","3.04M","1.94%"
"Sep 30, 2019","10.57","10.10","10.70","10.10","1.75M","2.72%"
"Sep 27, 2019","10.29","10.20","10.29","10.18","934.42K","0.73%"
"Sep 26, 2019","10.22","10.15","10.29","10.09","3.05M","-1.73%"
"Sep 25, 2019","10.40","10.20","10.40","10.07","2.13M","1.91%"
"Sep 24, 2019","10.20","10.08","10.38","10.08","4.81M","1.54%"
"Sep 23, 2019","10.05","10.20","10.38","10.02","2.41M","0.85%"
"Sep 20, 2019","9.96","9.95","10.28","9.85","3.03M","0.34%"
"Sep 19, 2019","9.93","9.85","9.97","9.71","3.81M","0.34%"
"Sep 18, 2019","9.89","10.11","10.11","9.89","1.56M","-1.38%"
"Sep 17, 2019","10.03","10.30","10.30","9.86","1.66M","-2.72%"
"Sep 16, 2019","10.31","10.13","10.40","9.45","2.06M","-0.77%"
"Sep 13, 2019","10.39","10.09","10.49","10.02","3.13M","3.74%"
"Sep 12, 2019","10.02","10.40","10.45","10.02","1.98M","-3.19%"
"Sep 11, 2019","10.35","10.12","10.48","10.11","2.97M","2.94%"
"Sep 10, 2019","10.05","9.69","10.16","9.60","5.01M","3.69%"
"Sep 09, 2019","9.69","9.59","9.69","9.34","2.66M","0.96%"
"Sep 06, 2019","9.60","9.37","9.61","9.37","1.35M","2.02%"
"Sep 05, 2019","9.41","9.18","9.43","9.15","2.11M","1.23%"
"Sep 04, 2019","9.30","9.11","9.35","9.10","2.37M","2.38%"
"Sep 03, 2019","9.08","9.26","9.26","9.05","2.82M","-1.56%"
"Sep 02, 2019","9.22","9.19","9.30","9.16","1.86M","0.59%"
"Aug 30, 2019","9.17","9.10","9.21","9.07","2.16M","1.33%"
"Aug 29, 2019","9.05","8.95","9.08","8.77","2.17M","3.12%"
"Aug 28, 2019","8.78","8.87","8.87","8.63","1.69M","-1.24%"
"Aug 27, 2019","8.89","8.53","8.93","8.52","2.21M","3.64%"
"Aug 23, 2019","8.57","8.64","8.86","8.56","1.56M","0.35%"
"Aug 22, 2019","8.54","8.50","8.64","8.41","2.27M","0.54%"
"Aug 21, 2019","8.50","8.64","8.76","8.50","1.84M","-1.09%"
"Aug 20, 2019","8.59","8.82","8.90","8.54","1.30M","-3.07%"
"Aug 19, 2019","8.86","8.76","8.88","8.76","1.77M","2.83%"
"Aug 16, 2019","8.62","8.94","8.94","8.39","2.40M","-1.60%"
"Aug 15, 2019","8.76","8.99","8.99","8.71","1.68M","-1.40%"
"Aug 14, 2019","8.88","9.10","9.11","8.75","1.69M","-2.37%"
"Aug 13, 2019","9.10","9.14","9.20","8.91","1.15M","-0.22%"
"Aug 12, 2019","9.12","9.07","9.24","8.96","1.56M","0.77%"
"Aug 09, 2019","9.05","9.14","9.25","8.88","2.66M","-1.63%"
"Aug 08, 2019","9.20","9.30","9.49","9.20","2.75M","-2.31%"
"Aug 07, 2019","9.42","9.05","9.42","9.05","4.25M","4.27%"
"Aug 06, 2019","9.03","9.21","9.26","9.03","2.35M","-1.50%"
"Aug 05, 2019","9.17","9.36","9.40","9.11","2.06M","-2.65%"
"Aug 02, 2019","9.42","9.58","9.67","9.27","2.34M","-2.00%"
"Aug 01, 2019","9.61","9.56","9.82","9.51","1.67M","-1.03%"
"Jul 31, 2019","9.71","9.57","9.75","9.54","1.37M","2.25%"
"Jul 30, 2019","9.50","9.80","9.81","9.23","6.19M","-3.83%"
"Jul 29, 2019","9.88","10.25","10.36","9.74","6.96M","-0.72%"
"Jul 26, 2019","9.95","10.48","10.48","9.94","3.73M","-4.25%"
"Jul 25, 2019","10.39","10.48","10.68","10.23","3.32M","-1.70%"
"Jul 24, 2019","10.57","10.48","10.60","10.35","2.00M","1.34%"
"Jul 23, 2019","10.43","10.26","10.46","10.02","2.04M","0.77%"
"Jul 22, 2019","10.35","9.97","10.44","9.97","2.05M","3.67%"
"Jul 19, 2019","9.98","10.10","10.30","9.98","2.51M","-1.15%"
"Jul 18, 2019","10.10","10.43","10.56","10.10","3.10M","-3.86%"
"Jul 17, 2019","10.51","10.33","10.69","10.31","2.35M","1.01%"
"Jul 16, 2019","10.40","10.00","10.46","9.95","3.67M","3.07%"
"Jul 15, 2019","10.09","10.19","10.23","10.09","1.89M","-0.39%"
"Jul 12, 2019","10.13","10.03","10.23","10.03","1.06M","-0.30%"
"Jul 11, 2019","10.16","10.00","10.31","9.85","2.56M","1.20%"
"Jul 10, 2019","10.04","10.34","10.47","10.04","7.15M","-2.38%"
"Jul 09, 2019","10.28","10.87","10.87","10.27","4.30M","-4.77%"
"Jul 08, 2019","10.80","10.82","10.98","10.71","1.46M","-0.69%"
"Jul 05, 2019","10.88","10.90","11.01","10.82","2.53M","-0.46%"
"Jul 04, 2019","10.93","10.58","10.98","10.58","2.83M","2.58%"
"Jul 03, 2019","10.65","10.33","10.68","10.30","1.82M","2.60%"
"Jul 02, 2019","10.38","10.11","10.45","10.09","2.41M","2.67%"
"Jul 01, 2019","10.11","10.06","10.18","9.98","2.01M","0.60%"
"Jun 28, 2019","10.05","9.79","10.11","9.79","2.34M","2.43%"
"Jun 27, 2019","9.81","9.94","10.19","9.81","5.08M","-1.66%"
"Jun 26, 2019","9.98","9.93","10.01","9.69","2.05M","0.52%"
"Jun 25, 2019","9.93","9.82","9.98","9.82","2.50M","0.16%"
"Jun 24, 2019","9.91","10.00","10.10","9.89","2.20M","0.00%"
"Jun 21, 2019","9.91","9.95","10.02","9.90","3.61M","0.53%"
"Jun 20, 2019","9.86","10.04","10.06","9.86","2.20M","-0.88%"
"Jun 19, 2019","9.95","9.95","9.98","9.65","4.16M","-0.52%"
"Jun 18, 2019","10.00","10.11","10.15","9.90","3.88M","-1.09%"
"Jun 17, 2019","10.11","10.29","10.30","9.87","2.42M","-4.62%"
"Jun 14, 2019","10.60","10.61","10.77","10.53","1.52M","-1.30%"
"Jun 13, 2019","10.74","10.66","10.79","10.56","1.58M","1.23%"
"Jun 12, 2019","10.61","10.56","10.73","10.54","1.39M","-0.56%"
"Jun 11, 2019","10.67","10.59","10.67","10.51","2.77M","1.14%"
"Jun 10, 2019","10.55","10.52","10.72","10.52","1.10M","-0.94%"
"Jun 07, 2019","10.65","10.39","10.72","10.39","2.65M","2.45%"
"Jun 06, 2019","10.40","10.38","10.59","10.24","1.65M","-0.53%"
"Jun 05, 2019","10.45","10.40","10.63","10.40","2.66M","-0.90%"
"Jun 04, 2019","10.55","10.04","10.56","10.02","2.40M","4.82%"
"Jun 03, 2019","10.06","10.01","10.15","9.96","2.84M","0.40%"
"May 31, 2019","10.02","10.35","10.35","9.96","2.66M","-4.21%"
"May 30, 2019","10.46","10.45","10.51","10.31","1.63M","0.48%"
"May 29, 2019","10.41","10.53","10.53","10.30","2.02M","-2.07%"
"May 28, 2019","10.63","10.30","10.63","10.25","5.22M","2.21%"
"May 24, 2019","10.40","10.48","10.66","10.34","4.47M","-0.19%"
"May 23, 2019","10.42","10.26","10.42","9.91","5.42M","2.41%"
"May 22, 2019","10.18","10.31","10.43","10.03","4.61M","-2.63%"
"May 21, 2019","10.45","10.23","10.51","10.19","3.56M","1.51%"
"May 20, 2019","10.30","10.20","10.80","10.03","5.29M","-4.72%"
"May 17, 2019","10.81","10.97","11.00","10.48","2.58M","0.70%"
"May 16, 2019","10.73","10.50","10.73","10.39","1.79M","2.58%"
"May 15, 2019","10.46","10.60","10.67","10.23","2.52M","-1.51%"
"May 14, 2019","10.62","10.40","10.62","10.32","2.68M","1.92%"
"May 13, 2019","10.42","10.73","10.81","10.38","2.07M","-2.62%"
"May 10, 2019","10.70","10.97","11.10","10.70","1.57M","-0.83%"
"May 09, 2019","10.79","11.00","11.04","10.77","1.75M","-1.51%"
"May 08, 2019","10.95","11.30","11.31","10.80","3.63M","-2.10%"
"May 07, 2019","11.19","11.66","11.75","11.19","1.34M","-3.70%"
"May 03, 2019","11.62","11.75","11.77","11.55","1.46M","-1.11%"
"May 02, 2019","11.75","12.23","12.23","11.73","1.42M","-3.61%"
"May 01, 2019","12.19","11.82","12.19","11.82","919.80K","1.41%"
"Apr 30, 2019","12.02","12.00","12.15","11.86","773.00K","0.21%"
"Apr 29, 2019","11.99","12.25","12.38","11.99","827.37K","-2.32%"
"Apr 26, 2019","12.28","12.10","12.28","11.98","1.69M","1.07%"
"Apr 25, 2019","12.15","11.85","12.16","11.75","987.34K","2.10%"
"Apr 24, 2019","11.90","12.02","12.22","11.50","1.17M","-1.49%"
"Apr 23, 2019","12.08","12.48","12.48","12.04","1.76M","-4.05%"
"Apr 18, 2019","12.59","12.48","12.70","12.38","2.08M","1.12%"
"Apr 17, 2019","12.45","12.00","12.49","12.00","1.49M","2.05%"
"Apr 16, 2019","12.20","11.85","12.20","11.56","6.46M","2.69%"
"Apr 15, 2019","11.88","11.77","12.09","11.76","1.50M","0.98%"
"Apr 12, 2019","11.77","11.68","11.84","11.56","1.52M","0.73%"
"Apr 11, 2019","11.68","11.11","11.74","11.11","1.89M","5.70%"
"Apr 10, 2019","11.05","11.25","11.26","10.93","2.29M","-1.60%"
"Apr 09, 2019","11.23","11.28","11.32","11.10","2.35M","-0.49%"
"Apr 08, 2019","11.28","11.35","11.49","11.20","1.91M","-1.95%"
"Apr 05, 2019","11.51","11.58","11.65","11.33","1.46M","-0.78%"
"Apr 04, 2019","11.60","11.45","11.69","11.36","1.25M","2.11%"
"Apr 03, 2019","11.36","11.14","11.55","11.14","4.06M","2.48%"
"Apr 02, 2019","11.09","11.41","11.52","11.08","3.96M","-2.98%"
"Apr 01, 2019","11.43","11.62","11.62","10.93","4.54M","-2.43%"
"Mar 29, 2019","11.71","11.86","11.92","11.38","2.67M","-1.31%"
"Mar 28, 2019","11.86","11.91","11.98","11.70","2.03M","0.13%"
"Mar 27, 2019","11.85","11.58","11.85","11.52","5.87M","2.82%"
"Mar 26, 2019","11.52","11.50","11.52","11.23","1.15M","1.05%"
"Mar 25, 2019","11.40","11.35","11.44","11.24","1.02M","-0.26%"
"Mar 22, 2019","11.44","11.66","11.80","11.32","1.92M","-2.26%"
"Mar 21, 2019","11.70","11.84","11.88","11.47","2.83M","-0.17%"
"Mar 20, 2019","11.72","12.09","12.09","11.69","1.21M","-2.33%"
"Mar 19, 2019","12.00","12.07","12.16","11.91","1.02M","-0.83%"
"Mar 18, 2019","12.10","12.40","12.43","12.04","633.14K","-1.47%"
"Mar 15, 2019","12.28","12.26","12.37","12.07","1.45M","-1.01%"
"Mar 14, 2019","12.40","12.10","12.48","11.99","1.76M","2.35%"
"Mar 13, 2019","12.12","12.19","12.19","11.99","1.31M","0.33%"
"Mar 12, 2019","12.08","11.83","12.32","11.83","2.16M","1.51%"
