"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 19, 2019","162.95","163.71","163.95","161.78","3.20M","0.90%"
"Aug 16, 2019","161.50","157.84","161.91","157.45","3.48M","2.97%"
"Aug 15, 2019","156.84","158.06","159.70","155.63","4.45M","-1.24%"
"Aug 14, 2019","158.81","162.50","162.87","158.67","4.06M","-3.68%"
"Aug 13, 2019","164.88","162.56","167.88","162.15","3.25M","1.71%"
"Aug 12, 2019","162.10","163.02","164.78","161.55","1.47M","-0.84%"
"Aug 09, 2019","163.47","164.54","164.75","162.03","1.58M","-0.46%"
"Aug 08, 2019","164.22","164.37","165.49","163.55","3.26M","0.35%"
"Aug 07, 2019","163.64","162.00","163.95","158.04","5.99M","-0.04%"
"Aug 06, 2019","163.71","164.82","165.48","162.90","3.49M","-0.61%"
"Aug 05, 2019","164.71","168.95","169.02","164.42","2.89M","-3.42%"
"Aug 02, 2019","170.55","172.86","172.92","169.81","2.42M","-1.62%"
"Aug 01, 2019","173.36","174.79","177.67","173.03","2.38M","-0.78%"
"Jul 31, 2019","174.72","177.65","178.02","173.40","3.02M","-1.64%"
"Jul 30, 2019","177.63","175.66","177.81","173.80","1.98M","0.49%"
"Jul 29, 2019","176.76","173.83","177.62","173.66","2.64M","1.60%"
"Jul 26, 2019","173.98","177.63","178.39","170.57","4.02M","-2.33%"
"Jul 25, 2019","178.13","187.01","187.72","176.66","7.36M","-0.72%"
"Jul 24, 2019","179.42","176.93","180.29","176.26","3.53M","1.07%"
"Jul 23, 2019","177.52","176.00","178.02","175.65","2.36M","1.65%"
"Jul 22, 2019","174.64","172.81","175.21","172.13","2.00M","1.18%"
"Jul 19, 2019","172.61","173.01","173.99","172.21","2.36M","-0.26%"
"Jul 18, 2019","173.06","174.42","175.14","172.40","2.22M","-0.92%"
"Jul 17, 2019","174.67","176.35","176.49","174.10","2.95M","-1.03%"
"Jul 16, 2019","176.49","172.75","177.25","172.72","3.92M","2.11%"
"Jul 15, 2019","172.84","173.38","174.25","171.21","2.19M","-0.29%"
"Jul 12, 2019","173.34","170.10","173.36","169.25","3.16M","2.54%"
"Jul 11, 2019","169.04","166.30","169.09","165.87","2.82M","2.02%"
"Jul 10, 2019","165.70","166.19","167.31","165.56","2.66M","0.00%"
"Jul 09, 2019","165.70","166.82","167.45","164.29","4.54M","-2.06%"
"Jul 08, 2019","169.19","169.92","170.48","168.77","2.29M","-1.63%"
"Jul 05, 2019","172.00","173.00","173.28","169.72","1.74M","-1.70%"
"Jul 03, 2019","174.98","174.17","175.04","172.93","1.17M","0.55%"
"Jul 02, 2019","174.02","175.10","175.10","173.07","1.56M","-0.28%"
"Jul 01, 2019","174.51","175.46","175.78","173.52","2.11M","0.67%"
"Jun 28, 2019","173.34","171.85","174.37","171.77","3.60M","1.07%"
"Jun 27, 2019","171.50","172.51","172.79","170.65","1.72M","-0.22%"
"Jun 26, 2019","171.88","172.35","173.24","171.72","1.81M","-0.09%"
"Jun 25, 2019","172.03","173.25","173.39","171.28","2.73M","-0.78%"
"Jun 24, 2019","173.38","173.35","174.34","173.34","2.71M","0.02%"
"Jun 21, 2019","173.35","173.75","174.56","172.63","4.88M","-0.34%"
"Jun 20, 2019","173.94","172.87","174.28","171.70","3.06M","1.87%"
"Jun 19, 2019","170.75","171.88","172.81","170.54","2.78M","-0.65%"
"Jun 18, 2019","171.86","167.85","172.27","167.57","3.62M","3.05%"
"Jun 17, 2019","166.78","167.10","167.43","166.46","1.78M","0.05%"
"Jun 14, 2019","166.69","168.24","168.25","166.05","2.72M","-1.28%"
"Jun 13, 2019","168.85","169.36","169.90","167.87","2.14M","-0.09%"
"Jun 12, 2019","169.01","169.87","170.15","168.59","2.17M","0.06%"
